device_id1,StudyID,device_id2,date
d285b451-3910-4591-8b49-83ca160159e5,16046957,56c64572-4f30-47aa-ad4c-cc8ccd576732,2022-12-01
93065d22-8138-49d0-bde4-aa05eafa94cc,48221971,,2022-12-02
1e73df50-ef10-4025-9c34-e44afd115d77,98690733,,2022-12-09
0d9821b5-83fd-44f9-863b-12e4c0f62738,12553168,,2022-12-10
2b5c3dfc-3ad2-4c8b-9539-ba922afed3c9,84991706,,2022-12-11
160d7b33-a74f-438d-af2a-445ecd8c4ff1,78697565,,2022-12-09
84249fa7-bf40-4413-b9d3-b121ba70afb1,77037129,,2022-11-28
d565193f-df85-4012-a747-0e415cf60f37,54272974,,2022-12-12
97565e04-92ba-4f57-9300-d1657613dd3e,60328886,,2022-12-02
780c9b18-72d3-4714-858d-3c91b3719155,21788465,,2022-12-10
a1118578-bbb4-47ef-b784-7d5bd09ad8b5,7389236,,2022-12-01
00e17b8a-4b0f-4230-bd26-3df2853e8916,69546645,,2022-12-12
029e57cb-fa0d-479d-abd2-9cb5745f219d,72690342,,2022-12-10
826fee95-bb60-4915-9e63-d027bf225eb5,49211890,,2022-11-21
