device_id,date,screen_on_freq,screen_on_time
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-12-20,35,6498.140999999999
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-12-21,56,17373.332000000002
032c33b9-32bf-4349-bb4a-7746ad57c56d,2022-12-22,12,9464.836
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-07,1,1595.411
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-08,34,11521.596000000001
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-09,38,15141.373999999998
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-10,16,18203.827
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-11,17,8336.692
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-12,43,17322.55
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-13,40,9128.894
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-14,47,18491.463
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-15,24,9067.909
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-16,29,10007.727
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-17,28,12413.800000000001
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-18,25,10009.571
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-19,7,2160.69
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-20,25,13615.626
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-21,20,10911.693
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-22,33,11040.225000000004
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-23,22,9286.446
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-24,15,6308.874
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-25,19,4424.036999999999
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-26,7,2584.446
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-27,18,8597.929000000002
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-28,36,11818.465000000004
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-29,17,5184.4619999999995
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-30,44,20280.596
0879c9e2-6620-41da-ab28-93fadb5cfbae,2022-12-31,21,9157.331
0879c9e2-6620-41da-ab28-93fadb5cfbae,2023-01-01,18,3466.139
0879c9e2-6620-41da-ab28-93fadb5cfbae,2023-01-02,12,2489.364
0879c9e2-6620-41da-ab28-93fadb5cfbae,2023-01-03,22,6822.598
0879c9e2-6620-41da-ab28-93fadb5cfbae,2023-01-04,21,12540.535000000003
0879c9e2-6620-41da-ab28-93fadb5cfbae,2023-01-05,22,10819.791999999998
0879c9e2-6620-41da-ab28-93fadb5cfbae,2023-01-06,28,7286.794999999998
0879c9e2-6620-41da-ab28-93fadb5cfbae,2023-01-07,17,10352.204
0879c9e2-6620-41da-ab28-93fadb5cfbae,2023-01-08,29,10226.25
0879c9e2-6620-41da-ab28-93fadb5cfbae,2023-01-09,15,4035.809
0879c9e2-6620-41da-ab28-93fadb5cfbae,2023-01-10,35,9780.488
0879c9e2-6620-41da-ab28-93fadb5cfbae,2023-01-11,36,8478.770999999999
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-05,17,1985.1950000000002
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-06,41,6183.888000000001
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-07,17,3582.3669999999997
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-08,39,6881.352000000001
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-09,34,5686.35
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-10,45,10974.853999999998
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-11,28,4256.502999999999
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-12,56,11722.040999999997
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-13,34,3966.2559999999985
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-14,29,18823.320999999996
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-15,33,1666.7880000000005
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-16,54,10045.346
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-17,31,5333.161999999999
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-18,40,6919.553999999999
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-19,29,3994.0460000000003
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-20,31,12600.206
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,2022-12-21,48,14851.836999999998
