device_id,date,stationary,walking,running,automotive,cycling,unknown
56c64572-4f30-47aa-ad4c-cc8ccd576732,2022-12-27,929,144,0,121,3,0
56c64572-4f30-47aa-ad4c-cc8ccd576732,2022-12-28,1013,226,0,83,1,0
56c64572-4f30-47aa-ad4c-cc8ccd576732,2022-12-29,929,168,0,106,0,0
56c64572-4f30-47aa-ad4c-cc8ccd576732,2022-12-30,956,170,0,212,0,0
56c64572-4f30-47aa-ad4c-cc8ccd576732,2022-12-31,1141,118,0,65,0,0
56c64572-4f30-47aa-ad4c-cc8ccd576732,2023-01-01,1012,163,0,66,3,0
56c64572-4f30-47aa-ad4c-cc8ccd576732,2023-01-02,1006,86,0,0,0,0
56c64572-4f30-47aa-ad4c-cc8ccd576732,2023-01-03,902,176,1,184,0,0
56c64572-4f30-47aa-ad4c-cc8ccd576732,2023-01-04,906,115,1,220,0,0
56c64572-4f30-47aa-ad4c-cc8ccd576732,2023-01-05,923,130,1,138,0,0
56c64572-4f30-47aa-ad4c-cc8ccd576732,2023-01-06,1008,89,1,140,0,0
56c64572-4f30-47aa-ad4c-cc8ccd576732,2023-01-07,868,164,0,443,7,0
56c64572-4f30-47aa-ad4c-cc8ccd576732,2023-01-08,737,233,0,356,3,0
56c64572-4f30-47aa-ad4c-cc8ccd576732,2023-01-09,903,206,0,359,0,0
56c64572-4f30-47aa-ad4c-cc8ccd576732,2023-01-10,1044,164,1,211,0,0
56c64572-4f30-47aa-ad4c-cc8ccd576732,2023-01-11,193,16,0,9,0,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-11-14,341,40,0,121,5,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-11-15,847,47,0,101,3,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-11-16,875,45,1,121,0,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-11-17,990,45,0,296,1,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-11-18,842,48,0,135,1,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-11-19,836,43,0,397,4,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-11-20,881,57,3,504,15,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-11-21,881,74,0,143,1,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-11-22,921,36,0,76,0,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-11-23,798,98,1,261,1,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-11-24,963,65,0,193,42,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-11-25,878,38,0,137,29,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-11-26,749,110,1,380,13,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-11-27,836,69,0,321,2,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-11-28,898,37,0,183,12,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-11-29,814,63,0,177,14,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-11-30,939,93,0,70,2,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-01,879,74,3,394,9,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-02,908,64,2,132,2,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-03,903,99,1,366,11,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-04,992,86,0,385,17,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-05,934,76,0,99,0,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-06,950,71,2,99,3,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-07,841,62,0,106,4,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-08,869,93,3,256,0,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-09,924,109,0,256,7,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-10,898,70,0,430,10,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-11,1027,35,0,161,13,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-12,751,84,0,94,12,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-13,945,24,0,59,0,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-14,990,42,1,98,1,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-15,988,14,0,101,3,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-16,957,43,1,232,20,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-17,1179,55,0,281,3,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-18,1231,35,0,31,7,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-19,948,94,0,110,4,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-20,1094,64,0,219,2,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-21,682,44,0,832,6,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-22,1083,28,0,96,32,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-23,978,30,0,55,22,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-24,836,54,0,348,15,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-25,963,124,0,0,5,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-26,888,43,0,0,0,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-27,883,89,0,0,1,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-28,808,72,0,112,10,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-29,648,22,0,708,11,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-30,1156,75,1,337,29,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2022-12-31,915,71,1,271,23,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2023-01-01,1138,28,0,64,4,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2023-01-02,989,49,0,142,6,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2023-01-03,1221,17,0,11,0,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2023-01-04,958,67,0,115,5,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2023-01-05,840,29,0,92,3,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2023-01-06,861,77,0,146,14,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2023-01-07,881,59,0,162,21,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2023-01-08,835,55,0,260,12,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2023-01-09,947,30,0,79,4,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2023-01-10,972,44,0,149,6,0
5bfba553-0ec5-47a5-802b-2872ac5f42a2,2023-01-11,474,5,0,29,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2022-12-11,189,185,0,0,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2022-12-12,477,20,0,0,0,0
62be005b-6ffd-473d-a03c-5c837c45a465,2022-12-13,698,103,0,63,0,0
